model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 5 Series,2014,Automatic,67068,Diesel,125,57.6,2,11200
 6 Series,2018,Automatic,14827,Petrol,145,42.8,2,27000
 5 Series,2016,Automatic,62794,Diesel,160,51.4,3,16000
 1 Series,2017,Automatic,26676,Diesel,145,72.4,1.5,12750
 7 Series,2014,Automatic,39554,Diesel,160,50.4,3,14500
 5 Series,2016,Automatic,35309,Diesel,125,60.1,2,14900
 5 Series,2017,Automatic,38538,Diesel,125,60.1,2,16000
 2 Series,2018,Manual,10401,Petrol,145,52.3,1.5,16250
 4 Series,2017,Manual,42668,Diesel,30,62.8,2,14250
 5 Series,2016,Automatic,36099,Diesel,20,68.9,2,14250
 X3,2017,Manual,74907,Diesel,145,52.3,2,15500
 1 Series,2017,Manual,29840,Diesel,20,68.9,2,11800
 X3,2016,Automatic,77823,Diesel,125,54.3,2,15500
 2 Series,2015,Manual,31469,Diesel,20,68.9,2,10500
 X3,2017,Automatic,19057,Diesel,145,54.3,2,22000
 3 Series,2017,Manual,16570,Diesel,125,58.9,2,16500
 3 Series,2017,Automatic,55594,Other,135,148.7,2,14250
 3 Series,2017,Automatic,45456,Diesel,30,64.2,2,16000
 1 Series,2017,Automatic,22812,Diesel,20,68.9,1.5,15500
 4 Series,2014,Automatic,47348,Diesel,125,60.1,2,14000
 1 Series,2015,Automatic,75124,Diesel,20,70.6,2,9700
 3 Series,2015,Automatic,78957,Diesel,30,62.8,2,12600
 3 Series,2016,Automatic,29213,Diesel,30,64.2,2,15100
 1 Series,2016,Manual,44498,Diesel,0,83.1,1.5,9400
 1 Series,2016,Automatic,22461,Diesel,20,67.3,2,14300
 1 Series,2016,Manual,23005,Petrol,125,53.3,1.5,11200
 3 Series,2019,Automatic,22310,Diesel,145,64.2,2,17800
 3 Series,2016,Automatic,51994,Diesel,30,62.8,2,14400
 X5,2016,Automatic,96213,Diesel,165,52.3,2,19750
 X3,2015,Automatic,50316,Diesel,200,47.9,3,17400
 4 Series,2017,Automatic,44011,Diesel,150,65.7,2,16800
 X4,2017,Automatic,34960,Diesel,150,54.3,2,23000
 i3,2016,Automatic,25269,Other,0,470.8,0.6,17100
 1 Series,2017,Automatic,24029,Petrol,145,39.8,3,20500
 1 Series,2017,Manual,22920,Petrol,145,53.3,1.5,11900
 2 Series,2017,Automatic,61818,Other,0,141.2,1.5,13000
 3 Series,2015,Manual,59634,Diesel,125,61.4,2,11500
 1 Series,2016,Manual,29226,Diesel,30,62.8,2,13500
 X1,2017,Automatic,33514,Diesel,145,60.1,2,18900
 1 Series,2018,Automatic,6522,Petrol,145,37.2,1.5,14600
 3 Series,2016,Manual,11231,Petrol,145,47.9,2,15800
 1 Series,2016,Manual,21591,Petrol,125,53.3,1.5,11400
 X3,2013,Automatic,79972,Diesel,200,47.1,3,12000
 1 Series,2018,Automatic,14037,Petrol,145,54.3,1.5,17500
 5 Series,2017,Automatic,25034,Diesel,200,47.9,3,23500
 X1,2016,Automatic,44478,Diesel,125,60.1,2,16700
 X3,2017,Automatic,74852,Diesel,150,47.1,3,18000
 4 Series,2016,Automatic,45856,Diesel,30,65.7,2,15500
 1 Series,2016,Manual,48858,Diesel,0,83.1,1.5,9200
 1 Series,2017,Manual,40399,Diesel,145,68.9,2,11200
 1 Series,2016,Manual,17393,Diesel,30,65.7,2,13200
 5 Series,2014,Automatic,84816,Diesel,30,62.8,2,11000
